ID_Ref;Paremia_ID;Paremia_Canonica;Desautomatizacion;Mecanismo;Mecanismos_Secundarios;Patron_Sintactico;Dominio_Meta;Elementos_Sustituidos;Hash;Check
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su san antonio.;Sustitución;;A [Sust] [Sust] le llega su [Sust];General;"{""cerdo"": ""cerdo"", ""San Martín"": ""san antonio""}";94a254bc61895cfe5b9ac0c987eb7c4d1af9da854d931c38d20a1d07aa42a49e;
58048;83;A cada cerdo le llega su San Martín;A todo cerdo le llega su hora.;Sustitución;Metasemema;A [Sust] [Sust] le llega su [Sust];General;"{""cerdo"": ""cerdo"", ""San Martín"": ""hora""}";f7661ce544d045737b429aff595cd7bda7c3e76dadda7f1975db0cab4ad7742e;
58061;128;A Dios rogando y con el mazo dando;A dios rogando y ocio cursos.;Sustitución;;A [Sust] rogando y [Sust] [Sust];General;"{""Dios"": ""dios"", ""con el mazo dando"": ""ocio cursos""}";5440739643a6620db0c11825f518b86da920607bf08d16244b092c5609631891;
58061;128;A Dios rogando y con el mazo dando;A dios rogando y arrendamientos.;Sustitución;;A dios rogando y [Sust];General;"{""con el mazo dando"": ""arrendamientos""}";fee85e2b70672baf0ec1ce37547a32990d4a34d4b1762e85fceb69d66fa5157c;
58061;128;A Dios rogando y con el mazo dando;A dios rogando y del estado recaudando;Sustitución;;A Dios rogando y [Sust] [Sust];Economía/Política;"{""con el mazo dando"": ""del estado recaudando""}";c9ad01739d6b4550c23775de9e686e878aa627d07a656af51aa491e3cc33ef91;
58061;128;A Dios rogando y con el mazo dando;A dios rogando y la pasta aflojando.;Sustitución;;A Dios rogando y [Sust] [Sust];General;"{""el mazo dando"": ""la pasta aflojando""}";e3720b2b5a909cc76080289e8b033a9b458135d4467e3ae80991bcc862abb517;
58061;128;A Dios rogando y con el mazo dando;A lo de a dios rogando y con un hacha cabezas cortando.;Adición;Sustitución;A [Sust] rogando y con [Sust] [Verbo] [Sust];General;"{""Dios"": ""lo de"", ""mazo"": ""un hacha cabezas"", ""dando"": ""cortando""}";e24dea429e44af532a600a3041a45403eb7f0218d91985701cfa53e697bed1b4;
58061;128;A Dios rogando y con el mazo dando;A dios rogando y con el ratón cliqueando...;Sustitución;;A [Sust] rogando y con el [Sust] [Verbo];Tecnología/Informática;"{""Dios"": ""dios"", ""mazo"": ""ratón"", ""dando"": ""cliqueando""}";14a0300bdb44fbc23c41e0d85a77e2fe973e97508e4d8cbd3d1bc5a6b3dc6288;
58061;128;A Dios rogando y con el mazo dando;A la virgen rogando y con el mazo dando. (para virgen el pilar, cojones.;Sustitución;Adición;A [Sust] rogando y con el mazo dando;Religión/Ironía;"{""Dios"": ""la virgen""}";522a26cf1f4e837d8d4bfa83b8345c153b05f1bb129394e4a86d79795707eee2;
58061;128;A Dios rogando y con el mazo dando;A dios pero se olvidó del mazo;Sustitución;Negación;A dios [Sust] del mazo;General;"{""rogando y con el mazo dando"": ""pero se olvidó del mazo""}";7ec0825fdc16eacddbe975f07979567b25c81759a825f17b4bdc9a05574b53e3;
58061;128;A Dios rogando y con el mazo dando;Afortunadamente, dios vela por su iglesia a dios rogando y con ratzinger dando;Adición;Sustitución;A [Sust] rogando y con [Sust] dando;Religión;"{"""": ""Afortunadamente, dios vela por su iglesia"", ""mazo"": ""ratzinger""}";e74f7e6ba7e0530c207e37a0cec333bd9bca787293b4937c82f48817187c634a;
58061;128;A Dios rogando y con el mazo dando;Que esto es lo que hay: a dios rogando y con el décimo dando.;Sustitución;Adición;A [Sust] rogando y con el [Sust] dando;General;"{""mazo"": ""décimo""}";06e8f34a827527a17503ae8517bf5f6a6ffa3659ec1abaf3fe5641e8ff4fb444;
58061;128;A Dios rogando y con el mazo dando;Se puede y se debe rogar a dios pero con el mazo dando.;Adición;Permutación;[Adición] a dios [Sust] pero con el mazo dando;General;"{"""": ""Se puede y se debe rogar"", ""rogando"": ""rogar""}";323f84ab01fb6d11b4cf4428eccfdaa0c363eefb66b66fdd84ed695530c03f47;
58061;128;A Dios rogando y con el mazo dando;A buestro dios rogando,y bosotros dando por culo;Sustitución;Metaplasmo;A [Sust] rogando y [Sust] dando;General/Insulto;"{""Dios"": ""buestro dios"", ""el mazo"": ""culo""}";e0fee388598698b5b153d2eda89c7393d3a6fe03aef2089c350b69a102501211;
58061;128;A Dios rogando y con el mazo dando;A dios rogando y de los niños abusando;Sustitución;;A [Sust] rogando y [Sust] [Sust];Crítica Social;"{""Dios"": ""dios"", ""con el mazo dando"": ""de los niños abusando""}";f8a9971b19a9678208d08c32dd143d8b86d18979b68881c69dd368095bef75b3;
58061;128;A Dios rogando y con el mazo dando;En dios confiando pero con el mazo dando.;Sustitución;;En [Sust] confiando pero con el mazo dando;General;"{""A Dios rogando"": ""En dios confiando""}";21a8e1379634f6b538aebb9fd8911e4d58c584d977d001ba9c6b3cc2a037f3cb;
58062;131;A enemigo que huye, puente de plata;Al enemigo para ganarle? en el puente de iseq encontrará la respuesta;Fusión;Adición;Al [Sust] para [Verbo], en el [Lugar] de [Sust] encontrará la [Sust];Estrategia/Batalla;"{""enemigo que huye"": ""enemigo para ganarle"", ""puente de plata"": ""puente de iseq""}";075740b3b238b96b1cd2bad5654d72ab5fe6ea132266c68b4123d758c40a14a5;
58062;131;A enemigo que huye, puente de plata;Evas hay muchas, muchacho, y a enemiga que huye, puente de hojalata.;Sustitución;Adición, Permutación;A [Sust] que [Sust], [Sust] de [Sust];General;"{""enemigo"": ""enemiga"", ""puente de plata"": ""puente de hojalata""}";f2b7aaec7e70efdac3e5152d3b854f9f87c28fa1460df1a6fbb7524d730ed16c;
58062;131;A enemigo que huye, puente de plata;A monumento monstruoso que huye, puente de plata.;Sustitución;;A [Sust] que huye, puente de plata;General;"{""enemigo"": ""monumento monstruoso""}";48ddc2c3f8b526aaad1e4d10109f42319a99394b0a73a7eecd60462f6b73eb38;
58062;131;A enemigo que huye, puente de plata;Al desafecto que huye, puente de plata, que sobra mucho.;Adición;Permutación;Al [Sust] que huye, puente de plata, [Adición];General;"{"""": ""que sobra mucho"", ""enemigo"": ""desafecto""}";f5629487dcb6923597f61703bc8955cd2835be4dc51e10906599042eeefce04b;
58062;131;A enemigo que huye, puente de plata;A padre ausente que huye, puente de plata.;Sustitución;;A [Sust] que huye, puente de plata;Relaciones Familiares;"{""enemigo"": ""padre ausente""}";55bb50c0dae0ed7b9941fec9158af3637bdb399ea1d5801a0f6e242487730bf4;
58062;131;A enemigo que huye, puente de plata;A enemigo que huye, bufido victorioso.;Sustitución;;A enemigo que huye, [Sust];General;"{""puente de plata"": ""bufido victorioso""}";af07f6000344f98f5354dc7c0a99fd543ed0e638e4125e969c969034ace40921;
58070;164;A grandes males, grandes remedios;A grandes males, soluciones ingeniosas.;Sustitución;;A grandes males, [Sust];General;"{""grandes remedios"": ""soluciones ingeniosas""}";c31be09d4a172125e2d84369b8fca3aaaf707c5ca57b581630f53bbf981fe689;
58070;164;A grandes males, grandes remedios;A grandes males, grande críticas.;Sustitución;;A grandes [Sust], grandes [Sust];General;"{""remedios"": ""críticas""}";2837b7396a16a086119c849d4de8cf0d70dbe8d4ddcc35062ddd428fef3e7ed8;
58070;164;A grandes males, grandes remedios;A grandes males, soluciones creativas;Sustitución;;A grandes [Sust], [Sust] [Sust];General;"{""grandes remedios"": ""soluciones creativas""}";0008e8135b3d04274accf2c5ab1164c408e1173035d064ec89e58e19b59d4ef7;
58070;164;A grandes males, grandes remedios;A grandes males, verdes soluciones con el cerdo criollo;Adición;Fusión;A grandes males, [Sust] soluciones con [Sust];Medio Ambiente/Ecología;"{""grandes remedios"": ""verdes soluciones con el cerdo criollo""}";f3134db54debb67ed0f663ea7a073e81290e8b1266114b7fbe25c8fa5e115d33;
58070;164;A grandes males, grandes remedios;A grandes males, mayor capacidad para enfrentarlos.;Sustitución;;A grandes males, [Sust];General;"{""grandes remedios"": ""mayor capacidad para enfrentarlos""}";2da6bdf8b495bf481e9d6d63ac89273866d437ef15048789a3dd3972b2c0aa9f;
58070;164;A grandes males, grandes remedios;A grandes robos, mejores remedios;Sustitución;;A grandes [Sust], grandes [Sust];General;"{""males"": ""robos"", ""remedios"": ""mejores remedios""}";f482762a7fb14d63f85173ec48d51d6b2d7565b0fd944e3cd7f5b70ba409985f;
58070;164;A grandes males, grandes remedios;Pero... a grandes males, grandes soluciones.;Sustitución;;A grandes males, grandes [Sust];General;"{""remedios"": ""soluciones""}";d23b96d8f909e3751ad29e3a6e4131658089973e0d53ec4d55374440328891f9;
58070;164;A grandes males, grandes remedios;A la vez, sugiero: a grandes males, grandes soluciones.;Sustitución;Adición;A grandes [Sust], grandes [Sust];General;"{""remedios"": ""soluciones""}";81501f2bdd325956e3a3175a19619028d4a7dfaaf8dad96c8ec3175ecdafb1b6;
58070;164;A grandes males, grandes remedios;A grandes males, mejores soluciones.;Sustitución;;A grandes [Sust], [Sust] [Sust];General;"{""grandes remedios"": ""mejores soluciones""}";c82f9dc85ffd37b8eeec42f22151743532cccc3756977d7b7f8455f1c4ab27a2;
58070;164;A grandes males, grandes remedios;Re:re: a grandes males, grandes soluciones;Sustitución;Metasemema;A grandes [Sust], grandes [Sust];General;"{""remedios"": ""soluciones""}";ceb9589fa4506882e065315ab2bfb8d2f6eb5d02a745bfb1385ec6376b3e5003;
58070;164;A grandes males, grandes remedios;A grandes males, grandes borracheras.;Sustitución;;A grandes [Sust], grandes [Sust];General;"{""remedios"": ""borracheras""}";099cd4f8ceaa830e64dc387ed0db7c9a44e24b567f8764e3712284f7870d9ce9;
58070;164;A grandes males, grandes remedios;A grandes males, pequeñas recetas;Sustitución;;A grandes [Sust], [Sust] remedios;General;"{""grandes"": ""pequeñas"", ""remedios"": ""recetas""}";b792ab3afc10062ef20f6493029ccd74f66c2b8a28a0a20fff738545d31684c4;
58070;164;A grandes males, grandes remedios;Re:re:re:re:re: a grandes males, grandes soluciones;Sustitución;Adición;A grandes [Sust], grandes [Sust];General;"{""remedios"": ""soluciones""}";07ba16f600ede23401370290fde45624b60d2d50cb4a5fda1ad7aa02f8b1d884;
58072;169;A la cama no te irás sin saber una cosa más;A la cama con cautela, sin saber por qué.;Sustitución;Permutación;A la [Sust] [Adición] sin [Sust];General;"{""cama no te irás"": ""cama con cautela"", ""saber una cosa más"": ""saber por qué""}";e3d3405f1c9f23358fb81934c4b6d0808cd8f960474a73ae3e8438a3c00fbc23;
58072;169;A la cama no te irás sin saber una cosa más;Sólo te quiero decir una cosa más. el lado izquierdo de la cama es mío.;Adición;Permutación;[Adición] [Sust] te [Sust] decir una cosa más. [Sust];General;"{""A la cama no te irás sin saber una cosa más"": ""Sólo te quiero decir una cosa más. el lado izquierdo de la cama es mío"", """": ""Sólo te quiero decir""}";56c9a66ef01aaceb1d69ad492f382443fd626d07f5e2f18ab3d4dfea793763ad;
58072;169;A la cama no te irás sin saber una cosa más;A la cama más tarde, quieren más regalos......¿.;Sustitución;Permutación;A la [Sust] [Sust], [Sust] [Sust];General;"{""cama"": ""cama más tarde"", ""no te irás sin saber una cosa más"": ""quieren más regalos""}";f0af3df823bbebc47e3d64722008fe13948caac36d61184c7ec80194544fce04;
58074;173;A la fuerza ahorcan;A la fuerza …;Truncamiento;;A la [Sust]…;General;{};a5713c391c15e2bd42cb4d05d07811a70153dd4cf31c5dc654bf78b860ce9a0d;
58074;173;A la fuerza ahorcan;A la fuerza y disparando.;Fusión;Anacoluto;A la [Sust], [Sust];General;"{""fuerza ahorcan"": ""fuerza y disparando""}";67b46447479d6dbf2356f563129b95e4480cb43f65fdc8e551e198bad382d9cb;
58074;173;A la fuerza ahorcan;A la fuerza bruta;Sustitución;;A la [Sust] [Sust];General;"{""fuerza ahorcan"": ""fuerza bruta""}";d18b6d741f0457099fbd029bd298000e449d30476245bdfc4b7d94c161fa2de3;
58074;173;A la fuerza ahorcan;A la fuerza aprendí;Sustitución;;A la [Sust] [Sust];General;"{""fuerza ahorcan"": ""fuerza aprendí""}";014eba2094f328f3e5623f5d13c57fed541396589d1c2473498429b075a24496;
58079;2454;La ocasión, la pintan calva;La situación la pintan calva y degollada.;Adición;;La [Sust] la pintan [Sust] y [Sust];General;"{"""": ""degollada"", ""ocasión"": ""situación""}";54a903476047fdcda2c04f116733a99595b9b978fdcdc7d10a9711f0b13550de;
58079;2454;La ocasión, la pintan calva;A la oportunidad la pintan calva;Sustitución;;A la [Sust], la pintan calva;General;"{""ocasión"": ""oportunidad""}";a8573c7384785c878df90a241ad5389451d625fbcc04f1930e750e98d2c2645f;
58079;2454;La ocasión, la pintan calva;La oportunidad la pintan calva;Sustitución;;La [Sust] la pintan calva;General;"{""ocasión"": ""oportunidad""}";6a8b71ffb3ec65e71b8e6bebeb183ca55f0165d3b0a682c90ec148bf51456784;
58084;193;A la vejez, viruelas;A la vejez, dinero y mujer;Sustitución;;A la vejez, [Sust];General;"{""viruelas"": ""dinero y mujer""}";65f0588cb3320fdc0594972df5e75a9ec6853ac73f3610cddb225a95affceef9;
58084;193;A la vejez, viruelas;A la vejez, risas.;Sustitución;;A la vejez, [Sust];General;"{""viruelas"": ""risas""}";dfcb06965825680f8ad02579c8946378ed2923ef18fcbb385d48ce2810aaf539;
58084;193;A la vejez, viruelas;A la vejez, que es un tema;Sustitución;Anacoluto;A la vejez, [Sust];General;"{""viruelas"": ""que es un tema""}";c9e91e7fd88343db580e3422f952ff2c484bf2a4a94f808060d23de67bd5974c;
58084;193;A la vejez, viruelas;A la vejez, bipolar.;Sustitución;;A la vejez, [Sust];Salud/Medicina;"{""viruelas"": ""bipolar""}";f24775975087e98e863aaa921c72eebecf61acfff87fa5c48b229a20bf75d84b;
58092;219;A mal tiempo, buena cara;💙 al mal tiempo, buenos conciertos...;Fusión;Sustitución;Al mal [Sust], buen[as] [Sust];Música/Entretenimiento;"{""tiempo"": ""tiempo"", ""cara"": ""conciertos""}";624f51c35916f9a34ca8f2d3140d66fc8eb063df3cc25f27bc843311bf16fceb;
58092;219;A mal tiempo, buena cara;Al mal tiempo, buen compromiso;Sustitución;;Al mal tiempo, [Sust];General;"{""buena cara"": ""buen compromiso""}";e6653cb2a53e19e16a24d9a2905e336aa20061ebadb7d227aa70dd030318fa72;
58092;219;A mal tiempo, buena cara;Al mal tiempo, interruptor fiable.;Sustitución;;Al mal tiempo, [Sust];Tecnología/Resiliencia;"{""buena cara"": ""interruptor fiable""}";d35252e39a7abe84d55f5b004eda26c14e6f8f1b3fd51f3cf97d17ab5d5670a7;
58092;219;A mal tiempo, buena cara;Al mal tiempo, mucha convivencia;Sustitución;;Al mal tiempo, [Sust];General;"{""buena cara"": ""mucha convivencia""}";a953328ebc21e0a98010125a3715f360f24884c533619c31c580af851b0ee82b;
58092;219;A mal tiempo, buena cara;A mal tiempo, buenos planes;Sustitución;;A [Sust] tiempo, [Sust] [Sust];General;"{""cara"": ""planes"", ""mal"": ""mal"", ""buena"": ""buenos""}";a08be2700ea7d8f74f989e6d53db83cfec78746a3f92ebb7bd954130401ea002;
58092;219;A mal tiempo, buena cara;A mal tiempo, que dos volando.;Sustitución;Anacoluto;A [Sust] tiempo, [Sust];General;"{""buena cara"": ""que dos volando""}";a5e20a1f9db83a55221fdd013da582530de001cd99aa40f8ab3d0f392a266da0;
58092;219;A mal tiempo, buena cara;A mal tiempo, paraguas barato;Sustitución;;A mal tiempo, [Sust];General;"{""buena cara"": ""paraguas barato""}";32fac688cf91d4647bc0041c95969c1f0281b1a9306acc474472a39a3ce4f3aa;
58092;219;A mal tiempo, buena cara;En cuba: a mal tiempo, buen corazón - cubasí;Fusión;Sustitución;A [Sust] tiempo, [Sust] [Sust];Cultura/Regional;"{""cara"": ""corazón""}";1e6638924d6564105e6b50f1c0445a4514867a3233bee257b87f1ef72b474ec8;
58092;219;A mal tiempo, buena cara;La red, a mal tiempo, buena música.;Fusión;Sustitución;A mal tiempo, [Sust] buena [Sust];Música/Entretenimiento;"{""cara"": ""música""}";a92a070b1ec1e07a09d5f343dac85d3131cb216a3bdc570af0b32d4e263110b4;
58092;219;A mal tiempo, buena cara;Al mal tiempo, garbanzos.;Sustitución;;Al mal tiempo, [Sust];General;"{""buena cara"": ""garbanzos""}";dfe17d6c20c2a354307d178cfc2de0f183c0f3ef4faf2fad4cd6fdb73b932be9;
58092;219;A mal tiempo, buena cara;Al mal tiempo, conducción segura;Sustitución;;Al mal tiempo, [Sust];Conducción;"{""buena cara"": ""conducción segura""}";75145dbd16c6bbc164d952738ad70430912a63d6017dd699541d2eba4d12b9d9;
58092;219;A mal tiempo, buena cara;A mal tiempo, tu mejor sonrisa en color.;Sustitución;;A mal tiempo, [Sust];General;"{""buena cara"": ""tu mejor sonrisa en color""}";2eb6f3739ebcc432cd6e05b6362cd94421fb66ded7320dcb32689dd120a0fa62;
58092;219;A mal tiempo, buena cara;Al mal tiempo, grandes proyectos.;Sustitución;;Al [Sust] [Sust];General;"{""buena cara"": ""grandes proyectos""}";4b3ae76b18b76e2e210d1e5d34e4812358b3e73da6f1f6cb211bda193be2dba3;
58097;228;A nadie le amarga un dulce;El sabio refranero ¿a quién le amarga un dulce;Sustitución;;¿[Sust] le [Sust] un [Sust]?;General;"{""nadie"": ""¿a quién"", ""amarga"": ""le amarga"", ""dulce"": ""un dulce""}";6c8ceeca72384220c7fe6f08b53e7811f4504602848bebb76f0fe03d79b26b31;
